nazwa,podpis,pokoj,metry,cena_metr,cena
"['Ogród,2pokojowe z 2008r.!! ul.Słomczyńskiego !!']"," Kraków, Górka Narodowa",['2 pokoje'],"['42,80 m²']",['7 243 zł/m²'],['\n                                                    310 000 zł                                                                                            ']
['Kameralny budynek- 40 m2 gratis']," Kraków, Krowodrza",['3 pokoje'],['107 m²'],['4 056 zł/m²'],['\n                                                    434 000 zł                                                                                            ']
['Mieszkanie 4 pok z ogrodem + STRYCH BLISKO KRAKOWA']," Kraków, małopolskie",['4 pokoje'],['80 m²'],['4 613 zł/m²'],['\n                                                    369 000 zł                                                                                            ']
"['Okazja! Mieszkanie 27,5m2 Azory']"," Kraków, Azory",['1 pokój'],"['27,50 m²']",['6 800 zł/m²'],['\n                                                    187 000 zł                                                                                            ']
['Mieszkanie inwestycyjne po remoncie. Okazja!!']," Kraków, Bronowice",['1 pokój'],['34 m²'],['7 353 zł/m²'],['\n                                                    250 000 zł                                                                                            ']
['Chopina stan developerski 2 / 3 pokoje']," Kraków, Stare Miasto",['3 pokoje'],['47 m²'],['9 638 zł/m²'],['\n                                                    453 000 zł                                                                                            ']
"['3pok 60,5m2 2balkony/garderoba/winda tramwaj/park']"," Kraków, Bieżanów",['3 pokoje'],"['60,44 m²']",['6 000 zł/m²'],['\n                                                    362 640 zł                                                                                            ']
"['Mieszkanie, 68,52 m², Kraków']"," Kraków, Bieżanów-Prokocim",['3 pokoje'],"['68,52 m²']",['5 677 zł/m²'],['\n                                                    389 000 zł                                                                                            ']
"['Mieszkanie, 54,53 m², Kraków']"," Kraków, Śródmieście",['2 pokoje'],"['54,53 m²']",['9 536 zł/m²'],['\n                                                    520 000 zł                                                                                            ']
['Wrocławska 1pok.']," Kraków, Łobzów",['1 pokój'],['31 m²'],['8 548 zł/m²'],['\n                                                    265 000 zł                                                                                            ']
"['Apartament 47m2, 2 pok 29-listopada']"," Kraków, Krowodrza",['2 pokoje'],['47 m²'],['10 106 zł/m²'],['\n                                                    475 000 zł                                                                                            ']
"['Mieszkanie, 74,15 m², Kraków']"," Kraków, Krowodrza",['3 pokoje'],"['74,15 m²']",['6 190 zł/m²'],['\n                                                    459 000 zł                                                                                            ']
['Apartament 3 pokojowy na Kazimierzu!!']," Kraków, Kazimierz",['2 pokoje'],"['41,77 m²']",['12 449 zł/m²'],['\n                                                    520 000 zł                                                                                            ']
"['Mieszkanie, 83 m², Kraków']"," Kraków, Stare Miasto",['4 pokoje'],['83 m²'],['9 036 zł/m²'],['\n                                                    750 000 zł                                                                                            ']
"['Mieszkanie, 56,20 m², Kraków']"," Kraków, Ruczaj",['4 pokoje'],"['56,20 m²']",['8 185 zł/m²'],['\n                                                    460 000 zł                                                                                            ']
"['Mieszkanie, 38,71 m², Kraków']"," Kraków, Krowodrza",['2 pokoje'],"['38,71 m²']",['7 104 zł/m²'],['\n                                                    275 000 zł                                                                                            ']
"['Mieszkanie, 39 m², Kraków']"," Kraków, Nowa Huta",['2 pokoje'],['39 m²'],['7 154 zł/m²'],['\n                                                    279 000 zł                                                                                            ']
"['Mieszkanie, 59 m², Kraków']"," Kraków, Krowodrza",['4 pokoje'],['59 m²'],['8 458 zł/m²'],['\n                                                    499 000 zł                                                                                            ']
"['Mieszkanie, 20,63 m², Kraków']"," Kraków, Krowodrza",['1 pokój'],"['20,63 m²']",['12 118 zł/m²'],['\n                                                    250 000 zł                                                                                            ']
"['Mieszkanie, 76,44 m², Kraków']"," Kraków, Podgórze",['2 pokoje'],"['76,44 m²']",['9 027 zł/m²'],['\n                                                    690 000 zł                                                                                            ']
"['Mieszkanie, 76 m², Kraków']"," Kraków, Podgórze",['3 pokoje'],['76 m²'],['6 513 zł/m²'],['\n                                                    495 000 zł                                                                                            ']
"['Mieszkanie, 44 m², Kraków']"," Kraków, małopolskie",['2 pokoje'],['44 m²'],['9 318 zł/m²'],['\n                                                    410 000 zł                                                                                            ']
"['Mieszkanie, 42,20 m², Kraków']"," Kraków, Stare Miasto",['3 pokoje'],"['42,20 m²']",['13 981 zł/m²'],['\n                                                    590 000 zł                                                                                            ']
"['Mieszkanie, 33 m², Kraków']"," Kraków, Zabłocie",['2 pokoje'],['33 m²'],['8 567 zł/m²'],['\n                                                    282 700 zł                                                                                            ']
"['Mieszkanie, 33 m², Kraków']"," Kraków, Bieżanów-Prokocim",['2 pokoje'],['33 m²'],['9 682 zł/m²'],['\n                                                    319 500 zł                                                                                            ']
"['Mieszkanie, 48 m², Kraków']"," Kraków, Nowa Huta",['3 pokoje'],['48 m²'],['7 263 zł/m²'],['\n                                                    348 600 zł                                                                                            ']
"['Mieszkanie, 51 m², Kraków']"," Kraków, Kliny-Zacisze",['2 pokoje'],['51 m²'],['6 706 zł/m²'],['\n                                                    342 000 zł                                                                                            ']
"['Mieszkanie, 36,35 m², Kraków']"," Kraków, Nowa Huta",['2 pokoje'],"['36,35 m²']",['7 428 zł/m²'],['\n                                                    270 000 zł                                                                                            ']
"['Mieszkanie, 68,10 m², Kraków']"," Kraków, Czyżyny",['3 pokoje'],"['68,10 m²']",['6 094 zł/m²'],['\n                                                    415 000 zł                                                                                            ']
"['Mieszkanie, 54,50 m², Kraków']"," Kraków, Stare Miasto",['3 pokoje'],"['54,50 m²']",['10 275 zł/m²'],['\n                                                    560 000 zł                                                                                            ']
"['Mieszkanie, 78,34 m², Kraków']"," Kraków, Krowodrza",['3 pokoje'],"['78,34 m²']",['9 278 zł/m²'],['\n                                                    726 872 zł                                                                                            ']
